time,station,temperature,wind_dir,wind_speed,wind_impact,clouds,weather
Aktuálny stav počasia - 28.09.2021 - 00:00 LSEČ,Bratislava Ivanka,16.2 °C,Z,2 m/s,,Zamračené,
Aktuálny stav počasia - 28.09.2021 - 00:00 LSEČ,Bratislava Koliba,15.1 °C,SZ,3 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 01:00 LSEČ,Bratislava - Mlynská Dolina,15.4 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 01:00 LSEČ,Bratislava Ivanka,16.6 °C,SZ,4 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 28.09.2021 - 01:00 LSEČ,Bratislava Koliba,15.3 °C,SZ,4 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 01:00 LSEČ,Bratislava - Mlynská Dolina,15.4 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 01:00 LSEČ,Bratislava Ivanka,16.6 °C,SZ,4 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 28.09.2021 - 01:00 LSEČ,Bratislava Koliba,15.3 °C,SZ,4 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 02:00 LSEČ,Bratislava - Mlynská Dolina,15.4 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 02:00 LSEČ,Bratislava Ivanka,16.8 °C,SZ,3 m/s,,Zamračené,Po daždi
Aktuálny stav počasia - 28.09.2021 - 02:00 LSEČ,Bratislava Koliba,15.4 °C,SZ,3 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 02:00 LSEČ,Bratislava - Mlynská Dolina,15.4 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 02:00 LSEČ,Bratislava Ivanka,16.8 °C,SZ,3 m/s,,Zamračené,Po daždi
Aktuálny stav počasia - 28.09.2021 - 02:00 LSEČ,Bratislava Koliba,15.4 °C,SZ,3 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 03:00 LSEČ,Bratislava - Mlynská Dolina,15.4 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 03:00 LSEČ,Bratislava Ivanka,16.6 °C,PREM,2 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 28.09.2021 - 03:00 LSEČ,Bratislava Koliba,15.1 °C,SZ,5 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 03:00 LSEČ,Bratislava - Mlynská Dolina,15.4 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 03:00 LSEČ,Bratislava Ivanka,16.6 °C,PREM,2 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 28.09.2021 - 03:00 LSEČ,Bratislava Koliba,15.1 °C,SZ,5 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 04:00 LSEČ,Bratislava - Mlynská Dolina,15.3 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 04:00 LSEČ,Bratislava Ivanka,16.5 °C,PREM,1 m/s,,Zamračené,Po daždi
Aktuálny stav počasia - 28.09.2021 - 04:00 LSEČ,Bratislava Koliba,15.0 °C,SZ,5 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 04:00 LSEČ,Bratislava - Mlynská Dolina,15.3 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 04:00 LSEČ,Bratislava Ivanka,16.5 °C,PREM,1 m/s,,Zamračené,Po daždi
Aktuálny stav počasia - 28.09.2021 - 04:00 LSEČ,Bratislava Koliba,15.0 °C,SZ,5 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 05:00 LSEČ,Bratislava - Mlynská Dolina,15.3 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 05:00 LSEČ,Bratislava Ivanka,16.8 °C,Z,4 m/s,,Takmer zamračené,Po daždi
Aktuálny stav počasia - 28.09.2021 - 05:00 LSEČ,Bratislava Koliba,15.1 °C,SZ,5 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 05:00 LSEČ,Bratislava - Mlynská Dolina,15.3 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 05:00 LSEČ,Bratislava Ivanka,16.8 °C,Z,4 m/s,,Takmer zamračené,Po daždi
Aktuálny stav počasia - 28.09.2021 - 05:00 LSEČ,Bratislava Koliba,15.1 °C,SZ,5 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 06:00 LSEČ,Bratislava - Mlynská Dolina,15.4 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 06:00 LSEČ,Bratislava Ivanka,16.6 °C,SZ,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 28.09.2021 - 06:00 LSEČ,Bratislava Koliba,15.6 °C,SZ,5 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 06:00 LSEČ,Bratislava - Mlynská Dolina,15.4 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 06:00 LSEČ,Bratislava Ivanka,16.6 °C,SZ,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 28.09.2021 - 06:00 LSEČ,Bratislava Koliba,15.6 °C,SZ,5 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 07:00 LSEČ,Bratislava - Mlynská Dolina,15.5 °C,Z,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 07:00 LSEČ,Bratislava Ivanka,17.0 °C,SZ,5 m/s,,Takmer zamračené,
Aktuálny stav počasia - 28.09.2021 - 07:00 LSEČ,Bratislava Koliba,15.4 °C,SZ,5 m/s,10 m/s,Takmer zamračené,Dymno
Aktuálny stav počasia - 28.09.2021 - 07:00 LSEČ,Bratislava - Mlynská Dolina,15.5 °C,Z,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 07:00 LSEČ,Bratislava Ivanka,17.0 °C,SZ,5 m/s,,Takmer zamračené,
Aktuálny stav počasia - 28.09.2021 - 07:00 LSEČ,Bratislava Koliba,15.4 °C,SZ,5 m/s,10 m/s,Takmer zamračené,Dymno
Aktuálny stav počasia - 28.09.2021 - 08:00 LSEČ,Bratislava - Mlynská Dolina,15.8 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 08:00 LSEČ,Bratislava Ivanka,17.0 °C,SZ,5 m/s,,Takmer zamračené,
Aktuálny stav počasia - 28.09.2021 - 08:00 LSEČ,Bratislava Koliba,15.4 °C,SZ,6 m/s,,Takmer zamračené,Dymno
Aktuálny stav počasia - 28.09.2021 - 08:00 LSEČ,Bratislava - Mlynská Dolina,15.8 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 08:00 LSEČ,Bratislava Ivanka,17.0 °C,SZ,5 m/s,,Takmer zamračené,
Aktuálny stav počasia - 28.09.2021 - 08:00 LSEČ,Bratislava Koliba,15.4 °C,SZ,6 m/s,,Takmer zamračené,Dymno
Aktuálny stav počasia - 28.09.2021 - 09:00 LSEČ,Bratislava - Mlynská Dolina,16.2 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 09:00 LSEČ,Bratislava Ivanka,18.2 °C,PREM,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 28.09.2021 - 09:00 LSEČ,Bratislava Koliba,15.7 °C,SZ,5 m/s,11 m/s,Takmer zamračené,Dymno
Aktuálny stav počasia - 28.09.2021 - 09:00 LSEČ,Bratislava - Mlynská Dolina,16.2 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 09:00 LSEČ,Bratislava Ivanka,18.2 °C,PREM,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 28.09.2021 - 09:00 LSEČ,Bratislava Koliba,15.7 °C,SZ,5 m/s,11 m/s,Takmer zamračené,Dymno
Aktuálny stav počasia - 28.09.2021 - 10:00 LSEČ,Bratislava - Mlynská Dolina,16.4 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 10:00 LSEČ,Bratislava Ivanka,18.1 °C,SZ,6 m/s,,Takmer zamračené,Dážď
Aktuálny stav počasia - 28.09.2021 - 10:00 LSEČ,Bratislava Koliba,16.0 °C,SZ,5 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 28.09.2021 - 10:00 LSEČ,Bratislava - Mlynská Dolina,16.4 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 10:00 LSEČ,Bratislava Ivanka,18.1 °C,SZ,6 m/s,,Takmer zamračené,Dážď
Aktuálny stav počasia - 28.09.2021 - 10:00 LSEČ,Bratislava Koliba,16.0 °C,SZ,5 m/s,,Zamračené,Dážď
Aktuálny stav počasia - 28.09.2021 - 11:00 LSEČ,Bratislava - Mlynská Dolina,16.7 °C,Z,2 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 11:00 LSEČ,Bratislava Ivanka,18.0 °C,Z,5 m/s,,Takmer zamračené,Po daždi
Aktuálny stav počasia - 28.09.2021 - 11:00 LSEČ,Bratislava Koliba,15.8 °C,Z,5 m/s,10 m/s,Takmer zamračené,Dymno
Aktuálny stav počasia - 28.09.2021 - 11:00 LSEČ,Bratislava - Mlynská Dolina,16.7 °C,Z,2 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 11:00 LSEČ,Bratislava Ivanka,18.0 °C,Z,5 m/s,,Takmer zamračené,Po daždi
Aktuálny stav počasia - 28.09.2021 - 11:00 LSEČ,Bratislava Koliba,15.8 °C,Z,5 m/s,10 m/s,Takmer zamračené,Dymno
Aktuálny stav počasia - 28.09.2021 - 12:00 LSEČ,Bratislava - Mlynská Dolina,17.9 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 12:00 LSEČ,Bratislava Ivanka,18.6 °C,SZ,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 28.09.2021 - 12:00 LSEČ,Bratislava Koliba,16.8 °C,PREM,2 m/s,,Zamračené,
Aktuálny stav počasia - 28.09.2021 - 12:00 LSEČ,Bratislava - Mlynská Dolina,17.9 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 12:00 LSEČ,Bratislava Ivanka,18.6 °C,SZ,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 28.09.2021 - 12:00 LSEČ,Bratislava Koliba,16.8 °C,PREM,2 m/s,,Zamračené,
Aktuálny stav počasia - 28.09.2021 - 13:00 LSEČ,Bratislava - Mlynská Dolina,19.3 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 13:00 LSEČ,Bratislava Ivanka,20.9 °C,SZ,4 m/s,,Oblačno,
Aktuálny stav počasia - 28.09.2021 - 13:00 LSEČ,Bratislava Koliba,18.5 °C,SZ,4 m/s,,Polooblačno,
Aktuálny stav počasia - 28.09.2021 - 13:00 LSEČ,Bratislava - Mlynská Dolina,19.3 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 13:00 LSEČ,Bratislava Ivanka,20.9 °C,SZ,4 m/s,,Oblačno,
Aktuálny stav počasia - 28.09.2021 - 13:00 LSEČ,Bratislava Koliba,18.5 °C,SZ,4 m/s,,Polooblačno,
Aktuálny stav počasia - 28.09.2021 - 14:00 LSEČ,Bratislava - Mlynská Dolina,20.8 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 14:00 LSEČ,Bratislava Ivanka,21.3 °C,SZ,7 m/s,,Polooblačno,
Aktuálny stav počasia - 28.09.2021 - 14:00 LSEČ,Bratislava Koliba,20.2 °C,SZ,2 m/s,,Oblačno,
Aktuálny stav počasia - 28.09.2021 - 14:00 LSEČ,Bratislava - Mlynská Dolina,20.8 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 14:00 LSEČ,Bratislava Ivanka,21.3 °C,SZ,7 m/s,,Polooblačno,
Aktuálny stav počasia - 28.09.2021 - 14:00 LSEČ,Bratislava Koliba,20.2 °C,SZ,2 m/s,,Oblačno,
Aktuálny stav počasia - 28.09.2021 - 15:00 LSEČ,Bratislava - Mlynská Dolina,21.5 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 15:00 LSEČ,Bratislava Ivanka,22.0 °C,SZ,5 m/s,,Polooblačno,
Aktuálny stav počasia - 28.09.2021 - 15:00 LSEČ,Bratislava Koliba,20.6 °C,PREM,2 m/s,,Oblačno,
Aktuálny stav počasia - 28.09.2021 - 15:00 LSEČ,Bratislava - Mlynská Dolina,21.5 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 15:00 LSEČ,Bratislava Ivanka,22.0 °C,SZ,5 m/s,,Polooblačno,
Aktuálny stav počasia - 28.09.2021 - 15:00 LSEČ,Bratislava Koliba,20.6 °C,PREM,2 m/s,,Oblačno,
Aktuálny stav počasia - 28.09.2021 - 16:00 LSEČ,Bratislava - Mlynská Dolina,22.0 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 16:00 LSEČ,Bratislava Ivanka,21.5 °C,S,5 m/s,,Oblačno,
Aktuálny stav počasia - 28.09.2021 - 16:00 LSEČ,Bratislava Koliba,20.6 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 16:00 LSEČ,Bratislava - Mlynská Dolina,22.0 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 16:00 LSEČ,Bratislava Ivanka,21.5 °C,S,5 m/s,,Oblačno,
Aktuálny stav počasia - 28.09.2021 - 16:00 LSEČ,Bratislava Koliba,20.6 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 17:00 LSEČ,Bratislava - Mlynská Dolina,20.9 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 17:00 LSEČ,Bratislava Ivanka,21.4 °C,S,2 m/s,,Oblačno,
Aktuálny stav počasia - 28.09.2021 - 17:00 LSEČ,Bratislava Koliba,19.9 °C,S,3 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 17:00 LSEČ,Bratislava - Mlynská Dolina,20.9 °C,S,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 17:00 LSEČ,Bratislava Ivanka,21.4 °C,S,2 m/s,,Oblačno,
Aktuálny stav počasia - 28.09.2021 - 17:00 LSEČ,Bratislava Koliba,19.9 °C,S,3 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 18:00 LSEČ,Bratislava - Mlynská Dolina,20.7 °C,Z,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 18:00 LSEČ,Bratislava Ivanka,21.3 °C,SZ,3 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 18:00 LSEČ,Bratislava Koliba,19.7 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 18:00 LSEČ,Bratislava - Mlynská Dolina,20.7 °C,Z,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 18:00 LSEČ,Bratislava Ivanka,21.3 °C,SZ,3 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 18:00 LSEČ,Bratislava Koliba,19.7 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 19:00 LSEČ,Bratislava - Mlynská Dolina,18.4 °C,Z,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 19:00 LSEČ,Bratislava Ivanka,18.8 °C,S,2 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 19:00 LSEČ,Bratislava Koliba,18.1 °C,S,3 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 19:00 LSEČ,Bratislava - Mlynská Dolina,18.4 °C,Z,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 19:00 LSEČ,Bratislava Ivanka,18.8 °C,S,2 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 19:00 LSEČ,Bratislava Koliba,18.1 °C,S,3 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 20:00 LSEČ,Bratislava - Mlynská Dolina,17.1 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 20:00 LSEČ,Bratislava Ivanka,18.5 °C,PREM,1 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 20:00 LSEČ,Bratislava Koliba,17.6 °C,S,5 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 20:00 LSEČ,Bratislava - Mlynská Dolina,17.1 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 20:00 LSEČ,Bratislava Ivanka,18.5 °C,PREM,1 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 20:00 LSEČ,Bratislava Koliba,17.6 °C,S,5 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 21:00 LSEČ,Bratislava - Mlynská Dolina,16.4 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 21:00 LSEČ,Bratislava Ivanka,17.9 °C,S,3 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 21:00 LSEČ,Bratislava Koliba,17.1 °C,S,4 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 21:00 LSEČ,Bratislava - Mlynská Dolina,16.4 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 21:00 LSEČ,Bratislava Ivanka,17.9 °C,S,3 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 21:00 LSEČ,Bratislava Koliba,17.1 °C,S,4 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 22:00 LSEČ,Bratislava - Mlynská Dolina,15.5 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 22:00 LSEČ,Bratislava Ivanka,17.2 °C,SZ,2 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 22:00 LSEČ,Bratislava Koliba,17.1 °C,S,4 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 22:00 LSEČ,Bratislava - Mlynská Dolina,15.5 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 22:00 LSEČ,Bratislava Ivanka,17.2 °C,SZ,2 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 22:00 LSEČ,Bratislava Koliba,17.1 °C,S,4 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 23:00 LSEČ,Bratislava - Mlynská Dolina,15.1 °C,V,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 23:00 LSEČ,Bratislava Ivanka,15.9 °C,SZ,1 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 23:00 LSEČ,Bratislava Koliba,15.3 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 23:00 LSEČ,Bratislava - Mlynská Dolina,15.1 °C,V,1 m/s,,,
Aktuálny stav počasia - 28.09.2021 - 23:00 LSEČ,Bratislava Ivanka,15.9 °C,SZ,1 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 28.09.2021 - 23:00 LSEČ,Bratislava Koliba,15.3 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 00:00 LSEČ,Bratislava - Mlynská Dolina,14.0 °C,S,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 00:00 LSEČ,Bratislava Ivanka,13.9 °C,Z,2 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 29.09.2021 - 00:00 LSEČ,Bratislava Koliba,13.4 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 00:00 LSEČ,Bratislava - Mlynská Dolina,14.0 °C,S,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 00:00 LSEČ,Bratislava Ivanka,13.9 °C,Z,2 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 29.09.2021 - 00:00 LSEČ,Bratislava Koliba,13.4 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 01:00 LSEČ,Bratislava - Mlynská Dolina,13.0 °C,S,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 01:00 LSEČ,Bratislava Ivanka,12.4 °C,BEZV,0 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 29.09.2021 - 01:00 LSEČ,Bratislava Koliba,12.5 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 01:00 LSEČ,Bratislava - Mlynská Dolina,13.0 °C,S,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 01:00 LSEČ,Bratislava Ivanka,12.4 °C,BEZV,0 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 29.09.2021 - 01:00 LSEČ,Bratislava Koliba,12.5 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 02:00 LSEČ,Bratislava - Mlynská Dolina,12.2 °C,S,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 02:00 LSEČ,Bratislava Ivanka,11.3 °C,PREM,1 m/s,,Jasno,
Aktuálny stav počasia - 29.09.2021 - 02:00 LSEČ,Bratislava Koliba,12.7 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 02:00 LSEČ,Bratislava - Mlynská Dolina,12.2 °C,S,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 02:00 LSEČ,Bratislava Ivanka,11.3 °C,PREM,1 m/s,,Jasno,
Aktuálny stav počasia - 29.09.2021 - 02:00 LSEČ,Bratislava Koliba,12.7 °C,PREM,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 03:00 LSEČ,Bratislava - Mlynská Dolina,11.5 °C,Z,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 03:00 LSEČ,Bratislava Ivanka,10.6 °C,SV,2 m/s,,Jasno,
Aktuálny stav počasia - 29.09.2021 - 03:00 LSEČ,Bratislava Koliba,13.0 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 03:00 LSEČ,Bratislava - Mlynská Dolina,11.5 °C,Z,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 03:00 LSEČ,Bratislava Ivanka,10.6 °C,SV,2 m/s,,Jasno,
Aktuálny stav počasia - 29.09.2021 - 03:00 LSEČ,Bratislava Koliba,13.0 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 04:00 LSEČ,Bratislava - Mlynská Dolina,11.2 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 04:00 LSEČ,Bratislava Ivanka,10.9 °C,SV,1 m/s,,Jasno,
Aktuálny stav počasia - 29.09.2021 - 04:00 LSEČ,Bratislava Koliba,13.2 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 04:00 LSEČ,Bratislava - Mlynská Dolina,11.2 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 04:00 LSEČ,Bratislava Ivanka,10.9 °C,SV,1 m/s,,Jasno,
Aktuálny stav počasia - 29.09.2021 - 04:00 LSEČ,Bratislava Koliba,13.2 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 05:00 LSEČ,Bratislava - Mlynská Dolina,13.2 °C,Z,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 05:00 LSEČ,Bratislava Ivanka,12.2 °C,S,3 m/s,,Jasno,
Aktuálny stav počasia - 29.09.2021 - 05:00 LSEČ,Bratislava Koliba,12.4 °C,SV,3 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 05:00 LSEČ,Bratislava - Mlynská Dolina,13.2 °C,Z,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 05:00 LSEČ,Bratislava Ivanka,12.2 °C,S,3 m/s,,Jasno,
Aktuálny stav počasia - 29.09.2021 - 05:00 LSEČ,Bratislava Koliba,12.4 °C,SV,3 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 06:00 LSEČ,Bratislava - Mlynská Dolina,13.1 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 06:00 LSEČ,Bratislava Ivanka,11.8 °C,SV,4 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 29.09.2021 - 06:00 LSEČ,Bratislava Koliba,12.1 °C,SV,3 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 06:00 LSEČ,Bratislava - Mlynská Dolina,13.1 °C,SZ,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 06:00 LSEČ,Bratislava Ivanka,11.8 °C,SV,4 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 29.09.2021 - 06:00 LSEČ,Bratislava Koliba,12.1 °C,SV,3 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 07:00 LSEČ,Bratislava - Mlynská Dolina,12.9 °C,V,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 07:00 LSEČ,Bratislava Ivanka,12.8 °C,SV,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 29.09.2021 - 07:00 LSEČ,Bratislava Koliba,12.4 °C,PREM,2 m/s,,Zamračené,
Aktuálny stav počasia - 29.09.2021 - 07:00 LSEČ,Bratislava - Mlynská Dolina,12.9 °C,V,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 07:00 LSEČ,Bratislava Ivanka,12.8 °C,SV,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 29.09.2021 - 07:00 LSEČ,Bratislava Koliba,12.4 °C,PREM,2 m/s,,Zamračené,
Aktuálny stav počasia - 29.09.2021 - 08:00 LSEČ,Bratislava - Mlynská Dolina,13.7 °C,V,2 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 08:00 LSEČ,Bratislava Ivanka,13.5 °C,SV,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 29.09.2021 - 08:00 LSEČ,Bratislava Koliba,12.9 °C,PREM,1 m/s,,Zamračené,
Aktuálny stav počasia - 29.09.2021 - 08:00 LSEČ,Bratislava - Mlynská Dolina,13.7 °C,V,2 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 08:00 LSEČ,Bratislava Ivanka,13.5 °C,SV,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 29.09.2021 - 08:00 LSEČ,Bratislava Koliba,12.9 °C,PREM,1 m/s,,Zamračené,
Aktuálny stav počasia - 29.09.2021 - 09:00 LSEČ,Bratislava - Mlynská Dolina,14.5 °C,V,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 09:00 LSEČ,Bratislava Ivanka,13.9 °C,SV,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 29.09.2021 - 09:00 LSEČ,Bratislava Koliba,13.2 °C,PREM,1 m/s,,Zamračené,
Aktuálny stav počasia - 29.09.2021 - 09:00 LSEČ,Bratislava - Mlynská Dolina,14.5 °C,V,1 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 09:00 LSEČ,Bratislava Ivanka,13.9 °C,SV,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 29.09.2021 - 09:00 LSEČ,Bratislava Koliba,13.2 °C,PREM,1 m/s,,Zamračené,
Aktuálny stav počasia - 29.09.2021 - 10:00 LSEČ,Bratislava - Mlynská Dolina,15.3 °C,V,2 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 10:00 LSEČ,Bratislava Ivanka,15.0 °C,SV,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 29.09.2021 - 10:00 LSEČ,Bratislava Koliba,14.1 °C,PREM,1 m/s,,Zamračené,
Aktuálny stav počasia - 29.09.2021 - 10:00 LSEČ,Bratislava - Mlynská Dolina,15.3 °C,V,2 m/s,,,
Aktuálny stav počasia - 29.09.2021 - 10:00 LSEČ,Bratislava Ivanka,15.0 °C,SV,3 m/s,,Takmer zamračené,
Aktuálny stav počasia - 29.09.2021 - 10:00 LSEČ,Bratislava Koliba,14.1 °C,PREM,1 m/s,,Zamračené,
Aktuálny stav počasia - 29.09.2021 - 11:00 LSEČ,Bratislava - Mlynská Dolina,15.8 °C,V,2 m/s,,,
