time,station,temperature,wind_dir,wind_speed,wind_impact,clouds,weather
Aktuálny stav počasia - 22.09.2021 - 01:00 LSEČ,Bratislava Ivanka,12.5 °C,Z,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 01:00 LSEČ,Bratislava Koliba,11.0 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 02:00 LSEČ,Bratislava - Mlynská Dolina,10.4 °C,SV,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 02:00 LSEČ,Bratislava Ivanka,12.6 °C,Z,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 02:00 LSEČ,Bratislava Koliba,10.5 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 02:00 LSEČ,Bratislava - Mlynská Dolina,10.4 °C,SV,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 02:00 LSEČ,Bratislava Ivanka,12.6 °C,Z,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 02:00 LSEČ,Bratislava Koliba,10.5 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 03:00 LSEČ,Bratislava - Mlynská Dolina,10.2 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 03:00 LSEČ,Bratislava Ivanka,12.0 °C,SZ,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 03:00 LSEČ,Bratislava Koliba,10.6 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 03:00 LSEČ,Bratislava - Mlynská Dolina,10.2 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 03:00 LSEČ,Bratislava Ivanka,12.0 °C,SZ,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 03:00 LSEČ,Bratislava Koliba,10.6 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 04:00 LSEČ,Bratislava - Mlynská Dolina,9.5 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 04:00 LSEČ,Bratislava Ivanka,11.6 °C,Z,4 m/s,,Takmer zamračené,
Aktuálny stav počasia - 22.09.2021 - 04:00 LSEČ,Bratislava Koliba,9.6 °C,PREM,1 m/s,,,
